Player,Salary,Year
Stephen Curry,37457154,2018
Russell Westbrook,35665000,2018
Chris Paul,35654150,2018
LeBron James,35654150,2018
Kyle Lowry,32700000,2018
Blake Griffin,31873932,2018
Gordon Hayward,31214295,2018
James Harden,30570000,2018
Paul George,30560700,2018
Mike Conley,30521115,2018
Kevin Durant,30000000,2018
Paul Millsap,29230769,2018
Al Horford,28928710,2018
Damian Lillard,27977689,2018
DeMar DeRozan,27739975,2018
Chris Bosh,26837720,2018
Jrue Holiday,26641111,2018
Otto Porter,26011913,2018
CJ McCollum,25759766,2018
Nikola Jokic,25467250,2018
Andrew Wiggins,25467250,2018
Joel Embiid,25467250,2018
Anthony Davis,25434263,2018
Andre Drummond,25434262,2018
Bradley Beal,25434262,2018
Hassan Whiteside,24434262,2018
Dwight Howard,24256725,2018
Giannis Antetokounmpo,24157304,2018
Steven Adams,24157304,2018
Kevin Love,24119025,2018
Marc Gasol,24119025,2018
Chandler Parsons,24107258,2018
Harrison Barnes,24107258,2018
Nicolas Batum,24000000,2018
Rudy Gobert,23491573,2018
Kawhi Leonard,23114066,2018
DeAndre Jordan,22897200,2018
LaMarcus Aldridge,22347015,2018
Serge Ibaka,21666667,2018
Aaron Gordon,21590909,2018
Danilo Gallinari,21587579,2018
Victor Oladipo,21000000,2018
Ryan Anderson,20421546,2018
Joakim Noah,20261172,2018
Kyrie Irving,20099189,2018
Jabari Parker,20000000,2018
Jimmy Butler,19841627,2018
Zach LaVine,19500000,2018
Wesley Matthews,19360228,2018
Allen Crabbe,19332500,2018
Enes Kanter,19264603,2018
Tyler Johnson,19245370,2018
John Wall,19169800,2018
George Hill,19000000,2018
Jeff Teague,19000000,2018
Klay Thompson,18988725,2018
Goran Dragic,18109175,2018
Kent Bazemore,18089888,2018
Evan Turner,17868853,2018
Tristan Thompson,17469565,2018
Draymond Green,17469565,2018
Tim Hardaway Jr,17325000,2018
Pau Gasol,17133285,2018
Reggie Jackson,17043478,2018
Bismack Biyombo,17000000,2018
Evan Fournier,17000000,2018
Derrick Favors,16900000,2018
Luol Deng,16747954,2018
Jonas Valanciunas,16539326,2018
Gary Harris,16517857,2018
Andre Iguodala,16000000,2018
Timofey Mozgov,16000000,2018
Ian Mahinmi,16000000,2018
Clint Capela,15793104,2018
Dennis Schroeder,15500000,2018
DeMarre Carroll,15400000,2018
Gorgui Dieng,15170787,2018
Eric Bledsoe,15000000,2018
Trevor Ariza,15000000,2018
Tobias Harris,14800000,2018
Ricky Rubio,14800000,2018
JR Smith,14720000,2018
Brandon Knight,14631250,2018
James Johnson,14420700,2018
Robin Lopez,14357750,2018
Kenneth Faried,14242782,2018
Marvin Williams,14087500,2018
Taj Gibson,14000000,2018
Thaddeus Young,13764045,2018
Tyson Chandler,13585000,2018
Marcin Gortat,13565218,2018
Kelly Olynyk,13537527,2018
Cody Zeller,13528090,2018
Eric Gordon,13500375,2018
Austin Rivers,13155324,2018
Michael Kidd-Gilchrist,13000000,2018
Khris Middleton,13000000,2018
Mason Plumlee,12917808,2018
Wilson Chandler,12800562,2018
Solomon Hill,12763467,2018
Nikola Vucevic,12750000,2018
Dion Waiters,12705000,2018
Joe Ingles,12545455,2018
Jeremy Lin,12516746,2018
Jordan Clarkson,12500000,2018
Nikola Mirotic,12500000,2018
Miles Plumlee,12400000,2018
Tyreke Evans,12400000,2018
Courtney Lee,12253780,2018
JJ Redick,12250000,2018
Kemba Walker,12000000,2018
Kentavious Caldwell-Pope,12000000,2018
Avery Bradley,12000000,2018
Will Barton,11830358,2018
TJ Warren,11750000,2018
Zach Randolph,11692308,2018
Patrick Mills,11571429,2018
Alec Burks,11536515,2018
Omer Asik,11286516,2018
Marcus Smart,11160716,2018
Jusuf Nurkic,11111111,2018
Iman Shumpert,11011234,2018
Moe Harkless,10837079,2018
Tony Snell,10607143,2018
Dante Exum,10600000,2018
Meyers Leonard,10595506,2018
John Henson,10577466,2018
Bojan Bogdanovic,10500000,2018
Mirza Teletovic,10500000,2018
Terrence Ross,10500000,2018
Robert Covington,10464092,2018
Rudy Gay,10087200,2018
Jon Leuer,10002681,2018
Darren Collison,10000000,2018
Andre Roberson,10000000,2018
Danny Green,10000000,2018
Dwight Powell,9631250,2018
Matthew Dellavedova,9607500,2018
Jared Dudley,9530000,2018
Boban Marjanovic,9490740,2018
Josh Richardson,9367200,2018
Norman Powell,9367200,2018
Markieff Morris,9173294,2018
Rajon Rondo,9000000,2018
Bogdan Bogdanovic,9000000,2018
E'Twaun Moore,8808685,2018
Kosta Koufos,8739500,2018
Fred VanVleet,8653847,2018
Wayne Ellington,8653076,2018
Kyle Anderson,8641000,2018
Julius Randle,8641000,2018
Jerryd Bayless,8575916,2018
Cristiano Felicio,8470980,2018
Markelle Fultz,8339880,2018
Joe Harris,8333333,2018
